Entrez	post_mean	log_post_mean
1460	0.25117	0.6000322344114128
8899	0.251275	0.5998507183399475
55269	0.251582	0.5993204346906827
151987	0.251618	0.5992582939856939
7690	0.251861	0.5988390766308611
27086	0.25187	0.598823557830797
5687	0.251989	0.5986184169310318
3149	0.252027	0.598552930159407
11047	0.252072	0.5984753928036989
5725	0.252546	0.5976595057566004
11016	0.253148	0.5966254994143907
51496	0.253494	0.596032315611629
6714	0.253537	0.5959586528069223
22887	0.25395	0.5952517828353835
6334	0.254211	0.5948056609576945
4952	0.254236	0.5947629530174123
23613	0.254357	0.5945563059212008
26122	0.254475	0.5943548769631822
6096	0.254925	0.5935875720252403
10499	0.255062	0.5933542392326319
1108	0.255115	0.5932640054211364
3725	0.25512	0.5932554937650971
347733	0.255799	0.5921011576499012
6909	0.256223	0.5913818881559443
54882	0.256608	0.5907298082038943
6599	0.256756	0.590479398805875
5515	0.256763	0.5904675586933436
5160	0.256941	0.5901665899608727
80124	0.25726	0.5896277346980455
1810	0.257324	0.5895197062829175
8451	0.257467	0.58927842734638
127829	0.257499	0.5892244532065773
55084	0.257548	0.5891418183026658
8087	0.257721	0.5888501921881804
3561	0.257784	0.588744041704689
79643	0.257788	0.5887373028673291
288	0.257828	0.5886699202441716
10492	0.257837	0.5886547605946413
10382	0.258476	0.5875797757864865
6924	0.258582	0.5874017098220236
10847	0.258923	0.5868293696909611
5693	0.259016	0.586673407744666
58516	0.259412	0.5860099379927166
55777	0.259608	0.5856819285807503
4929	0.259664	0.5855882570903527
84061	0.259923	0.585155289059477
3843	0.26002	0.5849932460461724
84444	0.260151	0.5847745003708766
54880	0.260192	0.5847060606155812
118788	0.260223	0.5846543206428482
57688	0.260329	0.5844774498759775
8284	0.260939	0.5834610063003501
5455	0.261447	0.5826163371616184
8454	0.261463	0.5825897600767946
7468	0.26149	0.5825449149338399
1072	0.261551	0.5824436151752503
6529	0.26176	0.582096718008771
6844	0.261802	0.5820270400402436
56478	0.262115	0.5815081250632226
2491	0.262243	0.5812960955155173
80790	0.262411	0.581017963735512
215	0.26247	0.5809203287495239
7030	0.262587	0.5807267785055554
5861	0.26277	0.5804242189378604
1289	0.262903	0.5802044581081217
5530	0.263118	0.5798494406513706
54567	0.263227	0.5796695658574459
7465	0.263481	0.5792506969321416
4335	0.263666	0.5789458693130882
26088	0.264007	0.5783845578988425
10657	0.26402	0.5783631732792458
10743	0.264053	0.5783088939734624
5717	0.26417	0.5781165038078935
6567	0.264191	0.5780819812593907
64282	0.26468	0.577278874028442
3845	0.264841	0.5770147809566242
114783	0.264869	0.5769688681156182
254170	0.26515	0.5765083685454185
4209	0.265266	0.5763184113770679
7249	0.265415	0.5760745365087232
26999	0.265417	0.5760712639518171
80258	0.265422	0.5760630826674368
4097	0.265509	0.5759207529851851
5926	0.265782	0.5754744348506997
9513	0.265938	0.5752196017012196
1896	0.265995	0.5751265268757689
10732	0.266424	0.5744266556350461
81887	0.266551	0.5742196838249402
6432	0.26669	0.5739932686229889
8539	0.26674	0.5739118531639456
1938	0.26743	0.5727898756692114
11141	0.267501	0.5726745901150139
1445	0.267573	0.5725577120649282
2624	0.267709	0.5723370281980702
160	0.267718	0.572322428073917
830	0.267744	0.5722802526943818
10598	0.268002	0.5718619649797081
120	0.268129	0.5716562115342503
10236	0.268263	0.5714392229819019
56916	0.268421	0.5711835100106817
340533	0.268673	0.5707759753241258
212	0.268826	0.570528729998922
5087	0.268955	0.5703203775683228
2551	0.269033	0.570194445503571
51138	0.269147	0.5700104566088613
9493	0.269154	0.5699991615848004
4792	0.269331	0.5697136564135689
5514	0.26956	0.5693445523003353
23309	0.270002	0.5686330188567652
64319	0.270104	0.5684689842499259
55809	0.27043	0.5679451318437259
8812	0.270504	0.5678263085053469
388403	0.270983	0.5670579535454185
91	0.271003	0.5670259014642134
6594	0.271012	0.5670114787993887
60	0.271724	0.5658720008635084
1105	0.271864	0.5656482975116656
527	0.271873	0.5656339205230204
23598	0.271903	0.5655860006645848
4089	0.271949	0.5655125338161953
23399	0.272072	0.565316150874418
381	0.27256	0.564537879440179
2022	0.27293	0.5639487247977575
6128	0.273283	0.5633873834402459
3608	0.273298	0.5633635464710495
5928	0.27332	0.5633285879493504
51663	0.273375	0.5632412039543065
3745	0.273636	0.5628267667002893
79109	0.273752	0.5626426992356941
5925	0.274167	0.5619848200803643
57727	0.274275	0.5618137762702555
23648	0.274307	0.5617631095570326
79365	0.274464	0.5615146116024428
6910	0.274531	0.5614086079760636
55832	0.27469	0.5611571506408499
10376	0.274867	0.5608773975817318
10274	0.274934	0.5607715493550768
5915	0.274976	0.5607052098876171
24140	0.275022	0.5606325640008534
10381	0.27507	0.5605567725507532
55553	0.275146	0.5604367964655991
2157	0.275907	0.5592372809531867
84259	0.275936	0.55919163557946
1501	0.276087	0.5589540423327908
84656	0.276354	0.5585342449763424
51360	0.276699	0.557992410411873
23135	0.276896	0.5576833179650613
23760	0.276976	0.5575578609685211
7544	0.277136	0.5573070556474462
8260	0.277151	0.5572835500727886
5931	0.277204	0.5572005072298052
5880	0.277336	0.556993752540535
375612	0.27737	0.5569405134827163
3159	0.277685	0.5564475793537158
6670	0.277799	0.5562693219362851
79869	0.278123	0.5557630947027211
10813	0.278423	0.5552948913298106
64840	0.278518	0.5551467320950587
2623	0.278572	0.5550625377921767
7419	0.278815	0.5546838652871184
55696	0.279362	0.5538326687754456
9878	0.27937	0.5538202322017198
9589	0.279745	0.5532376670581118
6433	0.279862	0.5530560665594653
6207	0.279934	0.5529443501382352
26135	0.28005	0.5527644229952404
2122	0.280103	0.552682239707426
57526	0.280125	0.5526481304568824
